,Est1,Est2,Est3
2012-10-01,0.1457,0.1496,0.1642
2012-10-02,0.1359,0.1512,0.1595
2012-10-03,0.1719,0.1711,0.1671
2012-10-04,0.1719,0.1711,0.1671
2012-10-05,0.1719,0.1711,0.1671
2012-10-06,0.1632,0.1655,0.1583
2012-10-07,0.1547,0.1862,0.159
2012-10-08,0.145,0.1521,0.153
2012-10-09,0.144,0.1517,0.1525
2012-10-10,0.1782,0.1641,0.1571
2012-10-11,0.1627,0.164,0.158
2012-10-12,0.1612,0.1585,0.1565
2012-10-13,0.1638,0.1401,0.1505
2012-10-14,0.1708,0.1532,0.1548
2012-10-15,0.1708,0.1531,0.1512
2012-10-16,0.1729,0.1571,0.1587
2012-10-17,0.1729,0.1571,0.1587
2012-10-18,0.1721,0.1571,0.1587
2012-10-19,0.1702,0.1568,0.1775
2012-10-20,0.171,0.1571,0.1647
2012-10-21,0.1736,0.152,0.1723
2012-10-22,0.1736,0.152,0.1723
2012-10-23,0.1744,0.152,0.1655
2012-10-24,0.1745,0.152,0.1456
2012-10-25,0.1714,0.153,0.1523
2012-10-26,0.1701,0.153,0.1502
2012-10-27,0.1658,0.1624,0.1746
2012-10-28,0.1657,0.1517,0.1757
2012-10-29,0.1471,0.159,0.1778
2012-10-30,0.1474,0.159,0.1747
2012-10-31,0.1475,0.1597,0.1659
2012-11-01,0.1475,0.1605,0.1629
2012-11-02,0.1478,0.1461,0.1587
2012-11-03,0.1589,0.1445,0.1725
2012-11-04,0.1663,0.1471,0.1649
2012-11-05,0.1666,0.1482,0.1649
2012-11-06,0.1604,0.1476,0.1844
2012-11-07,0.1551,0.1574,0.1844
2012-11-08,0.156,0.1726,0.1641
2012-11-09,0.1527,0.1538,0.1674
2012-11-10,0.1686,0.1474,0.1568
2012-11-11,0.1526,0.1543,0.1585
2012-11-12,0.1526,0.1627,0.1589
2012-11-13,0.1499,0.1774,0.1431
2012-11-14,0.1574,0.1802,0.1472
2012-11-15,0.1652,0.1738,0.1479
2012-11-16,0.165,0.1616,0.1441
2012-11-17,0.1578,0.1821,0.1442
2012-11-18,0.1773,0.2016,0.1965
2012-11-19,0.2318,0.1887,0.2024
2012-11-20,0.2315,0.1892,0.2025
2012-11-21,0.2132,0.1897,0.2019
2012-11-22,0.2105,0.1608,0.1939
2012-11-23,0.2105,0.1608,0.1939
2012-11-24,0.3316,0.1608,0.1821
2012-11-25,0.3175,0.1662,0.1731
2012-11-26,0.2892,0.1847,0.2238
2012-11-27,0.256,0.1848,0.1948
2012-11-28,0.2549,0.1848,0.1878
2012-11-29,0.3213,0.206,0.2122
2012-11-30,0.2636,0.1986,0.1923
2012-12-01,0.3458,0.2769,0.2831
2012-12-02,0.3474,0.2642,0.2376
2012-12-03,0.4238,0.2266,0.2875
2012-12-04,0.4238,0.2266,0.2873
2012-12-05,0.2912,0.2185,0.2684
2012-12-06,0.3003,0.2402,0.2634
2012-12-07,0.2737,0.248,0.2582
2012-12-08,0.233,0.2157,0.2024
2012-12-09,0.2137,0.2157,0.2032
2012-12-10,0.24,0.2232,0.2096
2012-12-11,0.2526,0.2501,0.2275
2012-12-12,0.2908,0.238,0.2478
2012-12-13,0.2878,0.192,0.179
2012-12-14,0.2743,0.242,0.2253
2012-12-15,0.3433,0.2029,0.1922
2012-12-16,0.264,0.2068,0.2053
2012-12-17,0.1599,0.1844,0.2398
2012-12-18,0.1599,0.1979,0.2378
2012-12-19,0.1606,0.1988,0.2599
2012-12-20,0.1701,0.2521,0.285
2012-12-21,0.2216,0.2537,0.2963
2012-12-22,0.2204,0.2562,0.3334
2012-12-23,0.2101,0.2672,0.2423
2012-12-24,0.2612,0.2899,0.2669
2012-12-25,0.253,0.2246,0.226
2012-12-26,0.2093,0.2455,0.2607
2012-12-27,0.2181,0.2175,0.2936
2012-12-28,0.2257,0.2094,0.3251
2012-12-29,0.2514,0.2405,0.3251
2012-12-30,0.2512,0.2176,0.3054
2012-12-31,0.2254,0.2173,0.2625
2013-01-01,0.2139,0.1793,0.2282
2013-01-02,0.1519,0.1667,0.2158
2013-01-03,0.2131,0.2008,0.2473
2013-01-04,0.2923,0.2097,0.2499
2013-01-05,0.2256,0.2155,0.2086
2013-01-06,0.1672,0.226,0.174
2013-01-07,0.1566,0.1925,0.238
2013-01-08,0.1949,0.3034,0.3164